#  STM32H743  This was auto-generated by make-af-csv.py
Port ,Pin  ,AF0              ,AF1                      ,AF2                   ,AF3                                   ,AF4                                      ,AF5                        ,AF6                               ,AF7                                      ,AF8                                          ,AF9                                                   ,AF10                                  ,AF11                                            ,AF12                             ,AF13                           ,AF14     ,AF15    ,ADC                      ,SYS
PortC,PC0  ,                 ,                         ,                      ,DFSDM1_CKIN0                          ,                                         ,                           ,DFSDM1_DATIN4                     ,                                         ,SAI2_FS_B                                    ,                                                      ,USB_OTG_HS_ULPI_STP                   ,                                                ,FMC_SDNWE                        ,                               ,LCD_R5   ,EVENTOUT,ADC123_INP10             ,
PortC,PC1  ,DEBUG_TRACED0    ,                         ,SAI1_D1               ,DFSDM1_DATIN0                         ,DFSDM1_CKIN4                             ,SPI2_MOSI/I2S2_SDO         ,SAI1_SD_A                         ,                                         ,SAI4_SD_A                                    ,SDMMC2_CK                                             ,SAI4_D1                               ,ETH_MDC                                         ,MDIOS_MDC                        ,                               ,         ,EVENTOUT,ADC123_INP11/ADC123_INN10,PWR_WKUP6/RTC_TAMP3
PortC,PC2  ,PWR_CSTOP        ,                         ,                      ,DFSDM1_CKIN1                          ,                                         ,SPI2_MISO/I2S2_SDI         ,DFSDM1_CKOUT                      ,                                         ,                                             ,                                                      ,USB_OTG_HS_ULPI_DIR                   ,ETH_MII_TXD2                                    ,FMC_SDNE0                        ,                               ,         ,EVENTOUT,ADC123_INP12/ADC123_INN11,
PortC,PC2_C,                 ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,        ,ADC3_INP0/ADC3_INN1      ,
PortC,PC2_C,                 ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,        ,ADC3_INP0/ADC3_INN1      ,
PortC,PC3  ,PWR_CSLEEP       ,                         ,                      ,DFSDM1_DATIN1                         ,                                         ,SPI2_MOSI/I2S2_SDO         ,                                  ,                                         ,                                             ,                                                      ,USB_OTG_HS_ULPI_NXT                   ,ETH_MII_TX_CLK                                  ,FMC_SDCKE0                       ,                               ,         ,EVENTOUT,ADC12_INP13/ADC12_INN12  ,
PortC,PC3_C,                 ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,        ,ADC3_INP1                ,
PortC,PC3_C,                 ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,        ,ADC3_INP1                ,
PortC,PC4  ,                 ,                         ,                      ,DFSDM1_CKIN2                          ,                                         ,I2S1_MCK                   ,                                  ,                                         ,                                             ,SPDIFRX1_IN2                                          ,                                      ,ETH_MII_RXD0/ETH_RMII_RXD0                      ,FMC_SDNE0                        ,                               ,         ,EVENTOUT,ADC12_INP4               ,
PortC,PC5  ,                 ,                         ,SAI1_D3               ,DFSDM1_DATIN2                         ,                                         ,                           ,                                  ,                                         ,                                             ,SPDIFRX1_IN3                                          ,SAI4_D3                               ,ETH_MII_RXD1/ETH_RMII_RXD1                      ,FMC_SDCKE0                       ,COMP1_OUT                      ,         ,EVENTOUT,ADC12_INP8/ADC12_INN4    ,
PortC,PC6  ,                 ,HRTIM_CHA1               ,TIM3_CH1              ,TIM8_CH1                              ,DFSDM1_CKIN3                             ,I2S2_MCK                   ,                                  ,USART6_TX                                ,SDMMC1_D0DIR                                 ,FMC_NWAIT                                             ,SDMMC2_D6                             ,                                                ,SDMMC1_D6                        ,DCMI_D0                        ,LCD_HSYNC,EVENTOUT,                         ,
PortC,PC7  ,DEBUG_TRGIO      ,HRTIM_CHA2               ,TIM3_CH2              ,TIM8_CH2                              ,DFSDM1_DATIN3                            ,                           ,I2S3_MCK                          ,USART6_RX                                ,SDMMC1_D123DIR                               ,FMC_NE1                                               ,SDMMC2_D7                             ,SWPMI1_TX                                       ,SDMMC1_D7                        ,DCMI_D1                        ,LCD_G6   ,EVENTOUT,                         ,
PortC,PC8  ,DEBUG_TRACED1    ,HRTIM_CHB1               ,TIM3_CH3              ,TIM8_CH3                              ,                                         ,                           ,                                  ,USART6_CK                                ,UART5_RTS/UART5_DE                           ,FMC_NCE/FMC_NE2                                       ,                                      ,SWPMI1_RX                                       ,SDMMC1_D0                        ,DCMI_D2                        ,         ,EVENTOUT,                         ,
PortC,PC9  ,MCO_2            ,                         ,TIM3_CH4              ,TIM8_CH4                              ,I2C3_SDA                                 ,I2S_CKIN                   ,                                  ,                                         ,UART5_CTS                                    ,QUADSPI_BK1_IO0                                       ,LCD_G3                                ,SWPMI1_SUSPEND                                  ,SDMMC1_D1                        ,DCMI_D3                        ,LCD_B2   ,EVENTOUT,                         ,
PortC,PC10 ,                 ,                         ,HRTIM_EEV1            ,DFSDM1_CKIN5                          ,                                         ,                           ,SPI3_SCK/I2S3_CK                  ,USART3_TX                                ,UART4_TX                                     ,QUADSPI_BK1_IO1                                       ,                                      ,                                                ,SDMMC1_D2                        ,DCMI_D8                        ,LCD_R2   ,EVENTOUT,                         ,
