#  STM32N657  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0                    ,AF1                  ,AF2                             ,AF3                                ,AF4                              ,AF5                                    ,AF6                                      ,AF7                                                  ,AF8                                       ,AF9                                ,AF10                                                          ,AF11                                               ,AF12                      ,AF13         ,AF14           ,AF15        ,ADC                    ,SYS
PortB,PB7 ,DEBUG_TRACED3          ,TIM1_BKIN2           ,SAI1_D1                         ,ADF1_SDI0                          ,MDF1_SDI1                        ,SPI4_MOSI                              ,SAI1_SD_A                                ,TIM15_CH2                                            ,                                          ,DCMIPP_D7/DCMI_D7/PSSI_D7          ,SAI2_MCLK_B                                                   ,                                                   ,FMC_D15/FMC_DA15          ,             ,               ,EVENTOUT    ,                       ,
PortB,PB8 ,                       ,                     ,                                ,                                   ,                                 ,SPI1_MISO/I2S1_SDI                     ,                                         ,USART6_RX                                            ,SPDIFRX1_IN3                              ,DCMIPP_VSYNC/DCMI_VSYNC/PSSI_RDY   ,SAI2_FS_B                                                     ,SDMMC2_D0                                          ,FMC_D1/FMC_DA1            ,             ,               ,EVENTOUT    ,                       ,
PortB,PB9 ,                       ,LPTIM1_IN2           ,                                ,                                   ,                                 ,SPI1_SCK/I2S1_CK                       ,USART10_TX                               ,                                                     ,SPDIFRX1_IN0                              ,DCMIPP_D3/DCMI_D3/PSSI_D3          ,                                                              ,SDMMC2_D2                                          ,FMC_D3/FMC_DA3            ,             ,               ,EVENTOUT    ,                       ,
PortB,PB10,                       ,TIM2_CH3             ,I3C2_SCL                        ,LPTIM2_IN1                         ,I2C2_SCL                         ,SPI2_SCK/I2S2_CK                       ,                                         ,USART3_TX                                            ,                                          ,                                   ,                                                              ,                                                   ,FMC_D11/FMC_DA11          ,             ,LCD_G7         ,HDP_HDP2    ,ADC12_INP8/ADC12_INN4  ,
PortB,PB11,                       ,TIM2_CH4             ,I3C2_SDA                        ,LPTIM2_ETR                         ,I2C2_SDA                         ,                                       ,                                         ,USART3_RX                                            ,                                          ,                                   ,                                                              ,                                                   ,FMC_D10/FMC_DA10          ,             ,LCD_G6         ,HDP_HDP3    ,ADC12_INP4             ,
PortB,PB12,                       ,TIM1_BKIN            ,                                ,LPTIM2_IN2                         ,I2C2_SMBA                        ,SPI2_NSS/I2S2_WS                       ,FDCAN2_RX                                ,USART3_CK                                            ,                                          ,                                   ,                                                              ,UART5_RX                                           ,FMC_D9/FMC_DA9            ,             ,LCD_G5         ,HDP_HDP4    ,                       ,
PortB,PB13,DEBUG_TRACED0          ,LPTIM1_CH1           ,TIM8_CH3N                       ,                                   ,                                 ,SPI6_SCK/I2S6_CK                       ,USART10_CTS/USART10_NSS                  ,USART6_CTS/USART6_NSS                                ,                                          ,                                   ,                                                              ,SDMMC2_D6                                          ,FMC_D5/FMC_DA5            ,             ,LCD_CLK        ,EVENTOUT    ,                       ,
PortB,PB14,                       ,LPTIM1_CH2           ,TIM8_CH4N                       ,                                   ,                                 ,                                       ,USART10_CK                               ,USART6_CTS/USART6_NSS                                ,                                          ,DCMIPP_D10/DCMI_D10/PSSI_D10       ,                                                              ,                                                   ,FMC_D7/FMC_DA7            ,             ,LCD_HSYNC      ,EVENTOUT    ,                       ,
PortB,PB15,                       ,                     ,                                ,                                   ,                                 ,SPI6_NSS/I2S6_WS                       ,                                         ,USART6_RTS/USART6_DE                                 ,SPDIFRX1_IN2                              ,                                   ,                                                              ,                                                   ,FMC_D0/FMC_DA0            ,             ,LCD_G4         ,EVENTOUT    ,                       ,
PortC,PC0 ,                       ,TIM2_CH2             ,                                ,LPTIM4_IN1                         ,MDF1_CKI1                        ,SPI1_SCK/I2S1_CK                       ,SPI3_SCK/I2S3_CK                         ,                                                     ,SPI6_SCK/I2S6_CK                          ,PSSI_DE/DCMIPP_HSYNC/DCMI_HSYNC    ,UART7_RX                                                      ,SDMMC2_D2                                          ,FMC_D14/FMC_DA14          ,             ,LCD_R4         ,HDP_HDP3    ,                       ,
PortC,PC1 ,                       ,TIM17_CH1            ,TIM4_CH4                        ,                                   ,I2C1_SDA                         ,SPI2_NSS/I2S2_WS                       ,FDCAN1_TX                                ,I3C1_SDA                                             ,UART4_TX                                  ,DCMIPP_D7/DCMI_D7/PSSI_D7          ,SDMMC1_D5                                                     ,SDMMC2_D5                                          ,SDMMC1_CDIR               ,             ,               ,HDP_HDP1    ,                       ,
PortC,PC2 ,                       ,                     ,SAI1_D1                         ,ADF1_SDI0                          ,MDF1_SDI1                        ,SPI3_MOSI/I2S3_SDO                     ,SAI1_SCK_A                               ,USART2_RX                                            ,                                          ,DCMIPP_D13/DCMI_D13/PSSI_D13       ,                                                              ,SDMMC2_CK                                          ,FMC_NE3                   ,             ,               ,EVENTOUT    ,                       ,
