# This was auto-generated by make-af.csv.py
Port ,Pin ,AF0              ,AF1                ,AF2                       ,AF3                                  ,AF4                                           ,AF5                                             ,AF6                                                  ,AF7                                                 ,AF8                               ,AF9                                  ,AF10                                 ,AF11                                 ,AF12            ,AF13                 ,AF14                   ,AF15    ,ADC
PortC,PC4 ,                 ,TIM2_CH4           ,SAI1_CK1                  ,LPTIM2_ETR                           ,                                              ,I2S1_MCK                                        ,                                                     ,USART3_RX                                           ,                                  ,                                     ,                                     ,ETH_MII_RXD0/ETH_RMII_RXD0           ,FMC_SDNE0       ,                     ,                       ,EVENTOUT,ADC12_INP4
PortC,PC5 ,                 ,TIM1_CH4N          ,SAI1_D3                   ,                                     ,PSSI_D15                                      ,                                                ,SAI1_FS_A                                            ,UART12_RTS                                          ,                                  ,                                     ,OCTOSPI1_DQS                         ,ETH_MII_RXD1/ETH_RMII_RXD1           ,FMC_SDCKE0      ,                     ,                       ,EVENTOUT,ADC12_INN4/ADC12_INP8
PortC,PC6 ,                 ,                   ,TIM3_CH1                  ,TIM8_CH1                             ,                                              ,I2S2_MCK                                        ,SAI1_SCK_A                                           ,USART6_TX                                           ,SDMMC1_D0DIR                      ,FMC_NWAIT                            ,SDMMC2_D6                            ,OCTOSPI1_IO5                         ,SDMMC1_D6       ,DCMI_D0/PSSI_D0      ,                       ,EVENTOUT,
PortC,PC7 ,DEBUG_TRGIO      ,                   ,TIM3_CH2                  ,TIM8_CH2                             ,                                              ,                                                ,I2S3_MCK                                             ,USART6_RX                                           ,SDMMC1_D123DIR                    ,FMC_NE1                              ,SDMMC2_D7                            ,OCTOSPI1_IO6                         ,SDMMC1_D7       ,DCMI_D1/PSSI_D1      ,                       ,EVENTOUT,
PortC,PC8 ,DEBUG_TRACED1    ,                   ,TIM3_CH3                  ,TIM8_CH3                             ,                                              ,                                                ,                                                     ,USART6_CK                                           ,UART5_DE/UART5_RTS                ,FMC_NCE/FMC_NE2                      ,FMC_INT                              ,FMC_ALE                              ,SDMMC1_D0       ,DCMI_D2/PSSI_D2      ,                       ,EVENTOUT,
PortC,PC9 ,RCC_MCO_2        ,                   ,TIM3_CH4                  ,TIM8_CH4                             ,I2C3_SDA                                      ,AUDIOCLK                                        ,                                                     ,                                                    ,UART5_CTS                         ,OCTOSPI1_IO0                         ,                                     ,FMC_CLE                              ,SDMMC1_D1       ,DCMI_D3/PSSI_D3      ,                       ,EVENTOUT,
PortC,PC10,                 ,                   ,LPTIM3_ETR                ,                                     ,                                              ,                                                ,I2S3_CK/SPI3_SCK                                     ,USART3_TX                                           ,UART4_TX                          ,OCTOSPI1_IO1                         ,                                     ,ETH_MII_TXD0/ETH_RMII_TXD0           ,SDMMC1_D2       ,DCMI_D8/PSSI_D8      ,                       ,EVENTOUT,
PortC,PC11,                 ,                   ,LPTIM3_IN1                ,                                     ,                                              ,                                                ,I2S3_SDI/SPI3_MISO                                   ,USART3_RX                                           ,UART4_RX                          ,OCTOSPI1_NCS                         ,                                     ,                                     ,SDMMC1_D3       ,DCMI_D4/PSSI_D4      ,                       ,EVENTOUT,
PortC,PC12,DEBUG_TRACED3    ,                   ,TIM15_CH1                 ,                                     ,                                              ,SPI6_SCK                                        ,I2S3_SDO/SPI3_MOSI                                   ,USART3_CK                                           ,UART5_TX                          ,                                     ,                                     ,                                     ,SDMMC1_CK       ,DCMI_D9/PSSI_D9      ,                       ,EVENTOUT,
PortC,PC13,                 ,                   ,                          ,                                     ,                                              ,                                                ,                                                     ,                                                    ,                                  ,                                     ,                                     ,                                     ,                ,                     ,                       ,EVENTOUT,
PortC,PC14,                 ,                   ,                          ,                                     ,                                              ,                                                ,                                                     ,                                                    ,                                  ,                                     ,                                     ,                                     ,                ,                     ,                       ,EVENTOUT,
PortC,PC15,                 ,                   ,                          ,                                     ,                                              ,                                                ,                                                     ,                                                    ,                                  ,                                     ,                                     ,                                     ,                ,                     ,                       ,EVENTOUT,
PortD,PD0 ,                 ,                   ,                          ,TIM8_CH4N                            ,                                              ,                                                ,                                                     ,                                                    ,UART4_RX                          ,FDCAN1_RX                            ,                                     ,UART9_CTS                            ,FMC_D2/FMC_DA2  ,                     ,                       ,EVENTOUT,
PortD,PD1 ,                 ,                   ,                          ,                                     ,                                              ,                                                ,                                                     ,                                                    ,UART4_TX                          ,FDCAN1_TX                            ,                                     ,                                     ,FMC_D3/FMC_DA3  ,                     ,                       ,EVENTOUT,
PortD,PD2 ,DEBUG_TRACED2    ,                   ,TIM3_ETR                  ,                                     ,TIM15_BKIN                                    ,                                                ,                                                     ,                                                    ,UART5_RX                          ,                                     ,                                     ,                                     ,SDMMC1_CMD      ,DCMI_D11/PSSI_D11    ,LPTIM4_ETR             ,EVENTOUT,
PortD,PD3 ,                 ,                   ,                          ,                                     ,                                              ,I2S2_CK/SPI2_SCK                                ,                                                     ,USART2_CTS/USART2_NSS                               ,                                  ,                                     ,                                     ,                                     ,FMC_CLK         ,DCMI_D5/PSSI_D5      ,                       ,EVENTOUT,
PortD,PD4 ,                 ,                   ,                          ,                                     ,                                              ,                                                ,                                                     ,USART2_RTS                                          ,                                  ,                                     ,OCTOSPI1_IO4                         ,                                     ,FMC_NOE         ,                     ,                       ,EVENTOUT,
PortD,PD5 ,                 ,TIM1_CH4N          ,                          ,                                     ,                                              ,SPI2_RDY                                        ,                                                     ,USART2_TX                                           ,                                  ,FDCAN1_TX                            ,OCTOSPI1_IO5                         ,                                     ,FMC_NWE         ,                     ,                       ,EVENTOUT,
PortD,PD6 ,                 ,                   ,SAI1_D1                   ,                                     ,                                              ,I2S3_SDO/SPI3_MOSI                              ,SAI1_SD_A                                            ,USART2_RX                                           ,                                  ,                                     ,OCTOSPI1_IO6                         ,SDMMC2_CK                            ,FMC_NWAIT       ,DCMI_D10/PSSI_D10    ,                       ,EVENTOUT,
PortD,PD7 ,                 ,                   ,                          ,                                     ,                                              ,I2S1_SDO/SPI1_MOSI                              ,                                                     ,USART2_CK                                           ,                                  ,                                     ,OCTOSPI1_IO7                         ,SDMMC2_CMD                           ,FMC_NCE/FMC_NE1 ,                     ,LPTIM4_OUT             ,EVENTOUT,
