Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
PortF,PF8,,,,,,,,,,,QUADSPI_BK1_IO0,,,,,,
PortF,PF9,,,,,,,,,,,QUADSPI_BK1_IO1,,,,,,
PortF,PF10,,,,,,,,,,QUADSPI_CLK,,,,,,,
PortF,PF11,,,,,,,,,,,,,FMC_SDNRAS,,,,
PortF,PF12,,,,,,,,,,,,,FMC_A6,,,,
PortF,PF13,,,,,,,,,,,,,FMC_A7,,,,
PortF,PF14,,,,,,,,,,,,,FMC_A8,,,,
PortF,PF15,,,,,,,,,,,,,FMC_A9,,,,
PortG,PG0,,,,,,,,,,,,,FMC_A10,,,,
PortG,PG1,,,,,,,,,,,,,FMC_A11,,,,
PortG,PG2,,,,,,,,,,,,,,,,,
PortG,PG4,,,,,,,,,,,,,FMC_BA0,,,,
PortG,PG5,,,,,,,,,,,,,FMC_BA1,,,,
PortG,PG6,,,,,,,,,,,,,,,,,
PortG,PG7,,,,,,,SAI1_MCLK_A,,,,,,,,,,
PortG,PG8,,,,,,,,,,,,,FMC_SDCLK,,,,
PortG,PG9,,,,,,,,,USART6_RX,,,,,,,EVENTOUT,
PortG,PG10,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG11,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG12,,,,,,SPI6_MISO,,,USART6_RTS,,,,,,,EVENTOUT,
PortG,PG13,,,,,,SPI6_SCK,,,USART6_CTS,,,,,,,EVENTOUT,
PortG,PG14,,,,,,SPI6_MOSI,,,USART6_TX,,,,,,,EVENTOUT,
PortG,PG15,,,,,,,,,,,,,FMC_SDNCAS,,,,
PortH,PH0,,,,,,,,,,,,,,,,,
PortH,PH1,,,,,,,,,,,,,,,,,
PortH,PH2,,,,,,,,,,,,,FMC_SDCKE0,,,,
PortH,PH3,,,,,,,,,,,,,FMC_SDNE0,,,,
PortH,PH4,,,,,I2C2_SCL,,,,,,,,,,,,
PortH,PH5,,,,,I2C2_SDA,,,,,,,,,,,,
PortH,PH6,,,,,I2C2_SMBA,,,,,TIM12_CH1,,,,,,EVENTOUT,
PortH,PH7,,,,,,,,,,,,,,,,,
PortH,PH8,,,,,,,,,,,,,FMC_D16,,,,
PortH,PH9,,,,,,,,,,,,,FMC_D17,,,,
PortH,PH10,,,,,,,,,,,,,FMC_D18,,,,
PortH,PH11,,,,,,,,,,,,,FMC_D19,,,,
PortH,PH12,,,,,,,,,,,,,FMC_D20,,,,
PortH,PH13,,,,,,,,,,,,,FMC_D21,,,,
PortH,PH14,,,,,,,,,,,,,FMC_D22,,,,
PortH,PH15,,,,,,,,,,,,,FMC_D23,,,,
PortI,PI0,,,,,,,,,,,,,FMC_D24,,,,
PortI,PI1,,,,,,,,,,,,,FMC_D25,,,,
PortI,PI2,,,,,,,,,,,,,FMC_D26,,,,
PortI,PI3,,,,,,,,,,,,,FMC_D27,,,,
PortI,PI4,,,,,,,,,,,,,FMC_NBL2,,,,
PortI,PI5,,,,,,,,,,,,,FMC_NBL3,,,,
PortI,PI6,,,,,,,,,,,,,FMC_D28,,,,
PortI,PI7,,,,,,,,,,,,,FMC_D29,,,,
PortI,PI9,,,,,,,,,,,,,FMC_D30,,,,
PortI,PI10,,,,,,,,,,,,,FMC_D31,,,,
PortJ,PJ2,,,,,,,,,,,,,,DSIHOST_TE,,,
PortJ,PJ5,,,,,,,,,,,,,,,,,
PortK,PK3,,,,,,,,,,,,,,,,,
